n,SMILE,class
0,Cc1ccc(CC(=O)Nc2ccc(NC(=O)C=Cc3ccc(-c4ccccc4)o3)cc2C(=O)c2ccccc2)cc1,1.0
1,O=C(NCCCN=c1[nH]c2ccccc2[nH]1)c1cccc(O)c1,0.0
2,CC(C)NC1CCCC(N=c2cc[nH]c3cc(Cl)ccc23)C1,1.0
3,CN1CCN(C2CCN(c3ccnc4ccc(Cl)cc34)CC2CCCO)CC1,0.0
4,O=C(NCC1CCN(CCc2ccccc2)C1)c1cc(Cl)c[nH]1,0.0
5,CCOC(=O)C(CC(C)C)NP(=O)(CCCC(=O)N(C)O)NC(CC(C)C)C(=O)OCC,0.0
6,CCCCNC(=O)c1ccccc1,0.0
7,CCCCCCCCCCc1c(C)nc(CCCOC)c(CCCCCCCCCC)c1C,0.0
8,OCCCCN=c1[nH]ccc(=NCCCN=c2cc[nH]c3cc(Cl)ccc23)[nH]1,1.0
9,Cc1cccc2c1S(=O)(=O)CC1C2OC(COCc2ccccc2)C(OCc2ccccc2)C1OCc1ccccc1,0.0
10,Oc1cc(CCC2CCCCN2)cc(-c2cnc3ccccc3n2)c1,0.0
11,Clc1ccc(-c2c[nH]cc2C(c2ccc(Cl)cc2)n2ccnc2)cc1,1.0
12,COc1ccc(CNCCCN2CCN(CCCN(CC(C)C)CC(C)C)CC2)cc1,1.0
13,COc1ccc(C(=O)C=Cc2ccc(F)cc2)c(OC)c1OC,0.0
14,CC(=O)Nc1ccc(S(=O)(=O)NC(C)c2nc3ccccc3c(=O)n2N=Cc2ccccc2[N+](=O)[O-])cc1,0.0
15,Fc1cnc(N2CCCC3(CCN(Cc4ccsc4)C3)C2)nc1,1.0
16,CN1CCN(C(=O)n2cc(-c3cc[nH]c(=N)n3)c3ccccc32)CC1,0.0
17,Cc1ccc(-c2cc(CN3CCCC3)c(C)n2N=c2cc[nH]c3cc(Cl)ccc23)cc1,1.0
18,COc1ccc(COC2CC3C(C2C)C2OCC(C)C24CCC3(C)OO4)cc1,0.0
19,CC1CCC2C(C)C(OC(=O)CCC(=O)NCCCN(CCCCCCCCCCN(CCCNC(=O)CCC(=O)OC3OC4OC5(C)CCC6C(C)CCC(C3C)C46OO5)C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)OC3OC4(C)CCC1C32OO4,1.0
20,CC(=O)OC1C=CC(OC(=O)c2ccccc2)C(O)C1(O)COC(=O)c1ccccc1,0.0
21,FC(F)(F)c1ccc(OP2(=S)NCCO2)cc1,0.0
22,O=C(Nc1cc(OC(F)(F)F)cc(-c2cccnc2)c1)N1CCc2ccc(Cl)cc21,1.0
23,c1ccc(-c2noc(CN3CCc4cncnc4C3)n2)nc1,0.0
24,COc1ccc(C(=O)OCc2cc(O)c3c(c2)C(=O)c2cccc(O)c2C3=O)cc1,0.0
25,CC(C)=CCCC(C)=CCC1(C)C(=O)SC(C)C1=O,0.0
26,CCOP(=O)(NCC(C)C)Oc1cc(C)ccc1[N+](=O)[O-],0.0
27,Cc1cc(=Nc2cccc3ccccc23)n2[nH]cnc2n1,0.0
28,CN(C)c1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,1.0
