n,SMILE,class
0,CCCCC1=NC2(CCCC2)C(=O)N1Cc1cc(OC)c(OC)cc1Br,1.0
1,O=C1c2ccccc2SCC12C(c1cccc(F)c1)C1CSCN1C21C(=O)c2ccccc2C1=O,0.0
2,O=C1C=C2SC3CC24c2c5c6c(c(O)c2=N3)N=CC=6CCN5C1C4O,0.0
3,CNC(=O)c1c[n+](Cc2ccccc2C)ccc1CC1Cc2cc(OC)c(OC)cc2C1=O,0.0
4,COCCN1CCN(c2nc(=NCc3cccc4ccccc34)cc[nH]2)CC1,0.0
5,CCNC(=O)Oc1ccc2c(c1)C1(C)CCOC1O2,1.0
6,CN(C)C(C=NO)=NC1CCC1,0.0
7,C=CC(C)(C)c1cc(C2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)c(O)cc1O,0.0
8,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,0.0
9,O=C(CCCCC1CCSS1)NCCCN=c1c2c([nH]c3cc(Cl)ccc13)CCCC2,1.0
10,COc1cc(CCC(=O)N=CC(=O)Nc2ccc3ncccc3c2)ccc1O,0.0
11,C#CCNCCc1cccc(OC(=O)N(C)CCC)c1,0.0
12,CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCN=c3c4c([nH]c5ccccc35)CCCC4)cc12,1.0
13,COc1ccc2[nH]cc(CCCN3CCN(C(=O)CN4CCN(C(=O)c5ccc(Cl)cc5)CC4)CC3)c2c1,0.0
14,CCN(Cc1ccccc1)Cc1ccc(NC(=O)Cc2ccc(OC)c(OC)c2)cc1,0.0
15,CCCCCCCNC(=O)Oc1cccc(CN(C)CCCCCOc2ccc3c(c2)Oc2ncccc2C3)c1,1.0
16,c1ccc(CN=c2cc[nH]c(=NC3CCN(Cc4ccccc4)CC3)[nH]2)cc1,0.0
17,COc1ccc(NC(=O)c2coc3ccc(C=CC(=O)OCCN(C)C)cc3c2=O)cc1,0.0
18,O=C(c1cccc(Cl)c1F)n1nc(OCCCN2CCCCC2)c2ccccc21,0.0
19,CCC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCn4cc(CCCCCCN5CCc6cc(OC)c(OC)cc6C5c5cccc([N+](=O)[O-])c5)nn4)c3C(C1)C2,1.0
20,c1cc[n+](CCCCCCCCC[n+]2ccccc2)cc1,0.0
21,O=C(Cc1ccccc1)N1c2ccccc2[Se]c2ccc(Cl)cc21,0.0
22,O=C(NCCCCCCNCc1c[nH]c2ccccc12)c1cc(Cl)nc(Cl)c1,0.0
23,Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(CO)c4)CC3)cc2oc1=O,0.0
24,COc1cc2cc(C(=O)C3CCC[N+](C)(CC(=O)OC(C)(C)C)CC3)sc2cc1OC,1.0
25,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4cccc(Cl)c4)ccc3CC2=O)c1,1.0
26,CC[N+](CC)(CC)CCOc1ccc(C(=O)NCCCCCC(=O)NN=c2c3c([nH]c4ccccc24)CCCC3)cc1,1.0
27,COc1ccccc1CN1CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(Cc2ccccc2OC)Cc2ccc(cc2)-c2ccc(cc2)C1,0.0
28,O=[N+]([O-])c1ccc2c(c1)c(OCc1cccc3ccccc13)nn2CCN1CCCC1,0.0
29,Clc1ccc2c(=NCCCNCCCCOc3cccc4[nH]c5ccccc5c34)c3c([nH]c2c1)CCCC3,1.0
30,CC(=O)OC12CCN(C(C)=O)C1N(C(C)=O)c1ccc(OC(=O)NCCCCCCN=c3c4c([nH]c5ccccc35)CCCC4)cc12,1.0
31,COc1ccc2c(c1)CC(=CC1CCN(Cc3ccccc3)CC1)C2=O,1.0
32,COc1ccc2oc(C(=O)NCCCCCCCCCCN=c3c4c([nH]c5ccccc35)CCCC4)cc(=O)c2c1,1.0
33,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2cccc(O)c2[nH]1,0.0
34,Cc1ccc2c(=NCc3ccccc3)c3c([nH]c2c1)CCCC3,1.0
35,CCC1=CC2Cc3[nH]c4cccc(F)c4c(=N)c3C(C1)C2,1.0
36,ON=C(O)c1ccc(N=c2c3ccccc3[nH]c3ccccc23)cc1,1.0
37,COc1ccccc1CNCCCCCCNC(=O)c1cc(Cl)nc(Cl)c1,0.0
38,COc1cc2c(cc1OC)C(=O)C(Cc1cc[n+](Cc3ccc(S(N)(=O)=O)cc3)cc1C(N)=O)C2,0.0
39,COc1cc2c(cc1OCc1ccccc1)CCC(C)(CC(=O)NCCCCCCCCCN=c1c3c([nH]c4cc(Cl)ccc14)CCCC3)O2,1.0
40,CC(C)(C)c1cc[n+](CCCCCCCCCC[n+]2ccc(C(C)(C)C)cc2)cc1,1.0
41,COc1cc(C=CC(=O)N2CCc3ccccc3C2)ccc1OC(=O)N(C)C,0.0
42,NCCCCCCN=C1CC(=O)c2ccccc2C1=O,0.0
43,C=CC[N+](C)(C)Cc1cccc(O)c1,0.0
44,N#Cc1ccc(C(=O)n2cc(C=C3CN(Cc4ccccc4)CCC3=O)c3ccccc32)cc1,0.0
45,COc1cccc2cc[n+](-c3ccccc3Br)cc12,0.0
46,COc1cc(C=NC2CCN(Cc3ccccc3)C2)cc(OC)c1OC,0.0
47,O=C(CN1CCN(C(=O)c2ccccc2)CC1)N1CCN(CCCc2c[nH]c3ccccc23)CC1,0.0
48,CN1c2ccccc2C(n2nnc3ccccc32)c2ccccc21,0.0
49,O=C(C=Cc1ccc(O)c(O)c1)NCCC1CCN(Cc2ccccc2)CC1,0.0
50,Cn1c(O)cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc21,1.0
51,Cc1c(OC(=O)N(C)C)c2c(c[n+]1C)COC(C)OC2,0.0
52,CC(C1C(O)CC2(C)C3CCC4C5(C)COC(C(C)(C)F)=NC5CCC45CC35C(=O)CC12C)N(C)C,1.0
53,COc1cccc2c1C=[N+](c1ccccc1C#N)CC2,0.0
54,CC(C)n1cc(C(=O)C(F)(F)F)cn1,1.0
55,NCCCN=c1c2c([nH]c3cc(Cl)ccc13)CCCC2,1.0
56,COc1c(F)c[n+](CCCCOc2ccc3c(C)cc(=O)oc3c2)cc1F,1.0
57,COc1ccc2[nH]c3c(c(=NCCCCCCCCNC(=S)NC45CC6CC(CC(C6)C4)C5)c2c1)CCCC3,0.0
58,CCN(CCCCCC=Nc1cc(O)c(NCCCCCCN(CC)Cc2ccccc2C)cc1O)Cc1ccccc1C,1.0
59,COc1ccc2[nH]cc(CCNC(=O)c3ccc(CN(C)Cc4ccccc4)cc3)c2c1,0.0
60,O=C(CCC1CCN(Cc2ccccc2Cl)CC1)c1cc2c3c(ccn3C(=O)CC2)c1,1.0
61,N#Cc1c(-c2ccc(Cl)cc2)oc2[nH]c3c(c(=N)c12)CCCC3,0.0
62,COc1cccc2[nH]c3c(c(=N)c12)CCCO3,1.0
63,COc1cccc(C=CC(=O)Nc2ccc(CN(C)Cc3ccccc3)cc2)c1,0.0
64,Oc1cc(NCCCCCCNCc2nc3ccccc3s2)c(O)cc1N=CCCCCCNCc1nc2ccccc2s1,0.0
65,CCCCCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],0.0
66,c1ccc(CNC2CCN(Cc3ccccc3)CC2)cc1,0.0
67,COc1ccc(F)c[n+]1C,0.0
68,O=C1CCN(Cc2ccccc2)CC1=Cc1cccn1C(=O)c1ccccc1,0.0
69,COC(=O)C[N+]1(C)CCC(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)CC1,1.0
70,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,0.0
71,COc1c2c(cc3c1OCO3)C13C=CC(OC)CC1N(C2)CC3OC(=O)c1cccc2ccccc12,0.0
72,O=C(CN1CCN(C(=O)c2cccc(Cl)c2)CC1)N1CCN(CCCc2c[nH]c3ccccc23)CC1,0.0
73,COc1ccc(-c2[nH]c(=NC(=O)C3CCN(Cc4ccccc4C(F)(F)F)CC3)sc2-c2ccc(OC)cc2)cc1,1.0
74,CN(C)C(=O)Oc1ccc2c(c1)C(N)CC2,1.0
75,O=C1c2ccccc2SCC12C(c1ccccc1Cl)C1CSCN1C21C(=O)c2ccccc2C1=O,0.0
76,CCOC(=O)c1c(C)nc(N2CCN(S(=O)(=O)c3ccc(NC(C)=O)cc3)CC2)nc1-c1ccc(OC)c(OC)c1,1.0
77,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)C2(C)COC(C2)O3)cc1,0.0
78,O=c1c2cc(OCCCN3CCCCC3)ccc2nc2n1CCc1ccccc1-2,1.0
79,COc1cc2oc(-c3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2cc1OC,0.0
80,COc1ccc(CN=c2[nH]c(=NC(C)C)[nH]c3ccccc23)cc1OC,0.0
81,NC(=NO)c1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,0.0
82,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CNCCO2,1.0
83,O=C(NP(=O)(N1CCOCC1)N1CCOCC1)c1ccc(Br)cc1,0.0
84,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,0.0
85,CCN(Cc1ccccc1)C(=O)C=Cc1ccc(OC(=O)N(c2ccccc2)c2ccccc2)c(OC)c1,0.0
86,O=[PH](=O)(O)CN(C[PH](=O)(=O)O)C1CCCC1,0.0
87,COc1ccc2c(c1)CCC(Cc1cc[n+](Cc3cccc(F)c3)cc1C(C)=O)C2=O,1.0
88,COc1ccc2c(c1)CCC(Cc1cc[n+](Cc3ccc(C)cc3)cc1C(C)=O)C2=O,1.0
89,C#CCN(C)C1CCc2ccc(OC(=O)N(C)C)cc21,0.0
90,C#CCCOC[n+]1ccn(C)c1C,0.0
91,CCN(Cc1ccccc1)Cc1ccc(-c2cc3ccc(OCCNC(=O)Cc4cc(F)cc(F)c4)cc3oc2=O)cc1,1.0
92,O=C(CCCc1c[nH]c2ccccc12)NCCC1CCN(Cc2ccccc2)CC1,0.0
93,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CCN3CCCC3)CC2)cc1,1.0
94,N#Cc1cc2c(cn1)[nH]c1ncc(-c3ccc(CN4CCC(F)CC4)cc3)cc12,1.0
95,COc1cc(C=Cc2cc(N3CCN(C)CC3)c3ccccc3[n+]2C)ccc1N1CCN(C)CC1,0.0
96,O=c1oc2cc(OCCNC3CCN(Cc4ccccc4)CC3)ccc2c2c1CCCC2,0.0
97,NCCCCCCNCCSSCCNCCCCCCN,0.0
98,COc1cc(NCc2ccc(Oc3c(N)cccc3Cl)cc2)cc(OC)c1,0.0
99,CCc1c(C(=O)NCCCCN=c2c3c([nH]c4ccccc24)CCCC3)nc(-c2ccccc2Cl)n1-c1ccc(Cl)cc1,1.0
100,O=C(CCCCCN=c1c2c([nH]c3ccccc13)CCCC2)NCCc1c[nH]c2ccc(O)cc12,1.0
101,COc1ccc(C(=O)CCc2cccc([N+](C)(C)Cc3ccccc3)c2)cc1OC,0.0
102,COC(=O)c1cccc(CN2CCC(CC3Cc4cc(OC)c(OC)cc4C3=O)CC2)n1,0.0
103,CCOc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CCOCCOCCN=c2c3c([nH]c4ccccc24)CCCC3)cc1,1.0
104,COc1ccc(C(F)(F)F)c[n+]1CCCCOc1ccc2c(C)cc(=O)oc2c1,1.0
105,COc1ccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c(OC)c1OC,0.0
106,Cc1c(Cl)c(=O)oc2cc(OCCNC3CCN(Cc4ccccc4)CC3)ccc12,0.0
107,COc1ccc2c(c1)C(=O)C(=CC1CCN(Cc3ccccc3)CC1)C2,1.0
108,Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,1.0
109,Cc1ccc(OP(=O)(F)N(C)C)cc1,0.0
110,O=C(O)c1ccc(-n2cc(COc3ccc(C=NN=c4c5c([nH]c6ccccc46)CCCC5)cc3)nn2)cc1,0.0
111,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)OC(=Cc2ccc4ccccc4c2)C3=O)c1,1.0
112,Fc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)c(F)c1,1.0
113,COc1c2c(cc3c1OCO3)C13C=CC(OC)CC1N(C2)CC3OC(=O)c1ccoc1,0.0
114,CCN(C)Cc1cc(N)ccc1O,0.0
115,CCN(CC)CCCOc1ccc2nc3n(c(=O)c2c1)Cc1ccccc1-3,1.0
116,C#CCN1CCc2[nH]c3nc(N4CCCC4)c(C#N)cc3c(=N)c2C1,1.0
117,Cc1ccc(C2NC(=S)Nc3[nH]c4c(c(=N)c32)CCCC4)cc1,0.0
118,O=C(CCc1cc[n+](Cc2ccccc2)cc1)c1ccc2c(c1)OCO2,1.0
119,COc1cccc(CCc2cccc(OC)[n+]2C)[n+]1C,1.0
120,COc1cc(CCC(=O)NCCCCC(=O)NN=c2c3c([nH]c4ccccc24)CCCC3)cc(OC)c1OC,1.0
121,COc1cccc(CN(C)CCOc2ccc3c4c(c(=O)oc3c2)CCCC4)c1,0.0
122,CCCCCCCNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,1.0
123,CCOc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CCCCCCN=c2c3c([nH]c4ccccc24)CCCC3)cc1,1.0
124,COc1ccc(-c2[nH]c(=NC(=O)C3CCN(Cc4c(F)cccc4Cl)CC3)sc2-c2ccc(OC)cc2)cc1,1.0
125,C#CC(C)NCCc1cccc(OC(=O)N(C)C)c1,1.0
126,O=S(=O)(c1ccccc1)n1ccc2c(N3CCN(CCCCCN=c4c5c([nH]c6ccccc46)CCCC5)CC3)cccc21,1.0
127,CCCCCCCCOC[n+]1ccn(C)c1C=NO,0.0
128,c1ccc(CN2CCC(CCc3nccc4ccccc34)CC2)cc1,1.0
129,COc1cc(CCC(=O)N=CC(=O)Nc2ccccc2Cl)ccc1O,0.0
130,CCOc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CC2CCCCC2)CC1,1.0
131,COCC[N+]1(C)CCCC(C(=O)c2cc3cc(OC)c(OC)cc3s2)CC1,1.0
132,COc1cc2c3cc1Oc1c(O)c(OC)cc4c1C(Cc1ccc(cc1)Oc1cc(ccc1O)CC3N(C)CC2)N(C)CC4,0.0
133,c1ccc2c(c1)CCCN2c1nc2ccccc2[nH]1,0.0
134,CCC1=CC2Cc3[nH]c4cc(F)ccc4c(=N)c3C(C1)C2,1.0
135,COc1cc(Br)c(CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1OC,0.0
136,COc1cc2cc(-c3ccc(CN(C)Cc4ccccc4)cc3)c(=O)oc2cc1OC,1.0
137,COc1cc2[nH]c(=O)c(C(=O)NCC3CCN(Cc4ccccc4)CC3)c(O)c2cc1OC,1.0
138,O=C(Cc1c[nH]c2ccccc12)NCc1cn(CC2CCN(Cc3ccccc3)CC2)nn1,0.0
139,C=C(C)C(O)CCC1(C)C(CC=C(C)C)CC2(CC=C(C)C)C(=O)C1(C(=O)C(C)C)C(=O)C1=C2OC(C(C)(C)O)C1,0.0
140,c1ccc2c(CN=c3cc[nH]c(N4CCSCC4)n3)cccc2c1,0.0
141,C#CCN(CCCC1CCN(Cc2ccccc2)CC1)Cc1ccc2cccc(O)c2n1,0.0
142,CCN(CCCCCCN1CCN(CCCCCCN(CC)Cc2ccccc2OC)C1=O)Cc1ccccc1OC,1.0
143,COc1ccc(CN=c2cc[nH]c(=NC3CCN(Cc4ccccc4)CC3)[nH]2)cc1OC,0.0
144,O=c1ccoc2ccc(OCCCCN3CCCC3)cc12,0.0
145,CCN1CCN(c2ccc(C3CC(c4ccc(OC)cc4)=NN3C(C)=O)cc2)CC1,0.0
