n,SMILE,class
0,COc1cc2[se]n(-c3ccc(CN4CCCCC4)cc3)c(=O)c2cc1OC,0.0
1,COc1cc2c(cc1O)CCC(C)(CCC(=O)NCCCCCCCCN=c1c3c([nH]c4cc(Cl)ccc14)CCCC3)O2,1.0
2,COc1cc2c(cc1OC)CC(CC1CCN(CCN=c3c4c([nH]c5cc(Cl)ccc35)CCCC4)CC1)C2,1.0
3,CCN(C)C(=O)Oc1ccc(C=CC(=O)N2CCc3ccccc3C2)cc1,0.0
4,COc1cc2oc(-c3ccc(NCCN=c4c5c([nH]c6cc(Cl)ccc46)CCCC5)cc3)cc(=O)c2c(OC)c1OC,1.0
5,CCN(CCCCCCN1CCN(CCCCCCN(CC)Cc2ccccc2OC)C1=O)Cc1ccccc1OC,1.0
6,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(Cl)c2)C(=O)C3)c1,1.0
7,C#CCNC1CCc2ccc(OC(=O)N(C)CCC)cc21,0.0
8,CCOC(=O)C1C(C)=Nc2[nH]c3c(c(=N)c2C1c1cccc([N+](=O)[O-])c1)CCCC3,1.0
9,CN(C)Cc1ccc(CSCCCSCc2ccc(CN(C)C)o2)o1,1.0
10,c1ccc(-c2nnc(N=c3nccc[nH]3)o2)cc1,0.0
11,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCCCC=NC(=O)c4cc(O)c5c(O)c6c(O)cccc6c(O)c5c4)c3C(C1)C2,1.0
12,CN(CCC(=O)N1CCN(CCN=c2c3c([nH]c4ccccc24)CCCC3)CC1)c1ccccc1,1.0
13,Clc1ccc2c(=NCc3ccccn3)c3c([nH]c2c1)CCCC3,1.0
14,Nc1ccc2c(c1)c(OCc1ccccc1)nn2Cc1ccccc1,0.0
15,CCOC(=O)c1c(C)nc(N2CCN(S(=O)(=O)c3ccc(N)c(Cl)c3)CC2)nc1-c1ccc(OC)cc1,1.0
16,CCOC(=O)c1c(C)nc(N2CCN(S(=O)(=O)c3ccc(N)cc3)CC2)nc1-c1ccc(OC)cc1,1.0
17,CCOC(=O)C1C(C)=Nc2[nH]c3c(c(=N)c2C1c1cccc([N+](=O)[O-])c1)CCCC3,1.0
18,CN1Cc2cc(O)ccc2N(C)C1c1ccoc1,0.0
19,COc1ccc(C(=O)CCc2cc[n+](Cc3ccccc3C(F)(F)F)cc2C#N)cc1OC,1.0
20,Cc1c(C(=O)N(C)C)cc2c(OC(=O)N(C)C)cccc2[n+]1C,0.0
21,O=C(CCC1CCN(Cc2ccccc2)CC1)c1cc2c3c(c1)CCC(=O)N3CCC2,1.0
22,CCCCCCCCCN=c1c2c([nH]c3ccc(OC)cc13)CCCC2,0.0
23,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccccc3)cc1)C2,1.0
24,CC(c1cccc(OC(=O)N(C)C)c1)N1CCCCC1,1.0
25,COc1ccccc1CN(C)CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1,0.0
26,COC(=O)c1cc2c(=N)c3c([nH]c2nc1C)CCC3,0.0
27,Clc1ccc(C=NC2CCN(Cc3ccccc3)C2)cc1,0.0
