n,SMILE,class
0,Clc1ccccc1C1(c2ccnc(-c3ccncc3)n2)CCNCC1,1.0
1,N=C(CC(O)c1cccc2ccccc12)NN=Cc1cccnc1,0.0
2,Cc1[nH]c(C)c([N+](=O)[O-])c(=O)c1-c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1,1.0
3,CC(C)N(C(=S)NCCCN=c1cc[nH]c2cc(Cl)ccc12)C(C)C,1.0
4,S=C(NN=Cc1ccco1)NC1CCCCC1,0.0
5,CCNC(=O)ON(C)C(=O)COC(c1ccc(F)c(F)c1)P(=O)(OCOC(=O)C(C)(C)C)OCOC(=O)C(C)(C)C,1.0
6,COc1ccc(C(=O)CSc2nc(C)cc(SCC(=O)NNC(=O)Cc3ccccc3)n2)cc1,0.0
7,Cc1cc(C)c(N=c2[nH]c(=NCCCN=c3[nH]c(=Nc4c(C)cc(C)cc4C)[nH]c(=Nc4c(C)cc(C)cc4C)[nH]3)[nH]c(=Nc3c(C)cc(C)cc3C)[nH]2)c(C)c1,0.0
8,C(CCCNCCCNCC1CCCCCC1)CCCNCCCNCC1CCCCCC1,1.0
9,COC(=O)c1c(NC(C)=O)c2cc(NC3CCOCC3)cnc2n1CCc1ccc(OC)cc1,0.0
10,O=C(OC1OC(COC(=O)c2cc(O)c(O)c3oc(=O)c4cc(O)c(O)c(O)c4c23)C(O)C(O)C1O)c1cc(O)c(O)c(O)c1,0.0
11,CC(=O)Nc1ccc(S(=O)(=O)NC(Cc2ccccc2)c2nc3ccccc3c(=O)n2N=Cc2cccc([N+](=O)[O-])c2)cc1,0.0
12,O=C(C=Cc1ccc(Cl)cc1)c1ccc(Br)cc1,0.0
13,C=C(c1ccc(C)cc1C)C1COC2(CCC(Nc3ccccc3)CC2)OO1,1.0
14,CSCCCNC(=O)CNC(=O)C(O)C(C)(C)CO,0.0
15,Cc1cc(C)c(N=c2[nH]c(=N)[nH]c(=Nc3ccc(C#N)cc3)[nH]2)c(C)c1,0.0
16,COc1cccc(N=c2[nH]c(C(Cl)(Cl)Cl)nc3ccccc23)c1,0.0
17,CC1CCC2(CC3CC4C5CCC67OC6C(=O)CCC7(C)C5CCC4(C)C3C2C)OC1,0.0
18,CC1=Cc2nc(C)cc3cc(OCc4ccccc4)cc(c23)O1,0.0
19,CC(=O)OC1CC(OC(=O)c2ccccc2)C(C)=CC2C(OC(=O)c3ccccc3)C(C)C(O)C2(OC(C)=O)C(O)C(C)(O)C=CC1(C)C,0.0
20,N=C(N)NCCCC1NCCc2c1[nH]c1cc(Br)ccc21,0.0
21,CC(c1ccc(C#N)cc1)n1c(=NC2CCN(CCc3ccc(C#N)cc3)CC2)[nH]c2ccccc21,1.0
22,CCCN(CCC)CCOc1ccc2c(=O)c3cc(Cl)ccc3[nH]c2c1,1.0
23,O=[N+]([O-])OCCC1CCNCC1,0.0
24,C=C1C(=O)OC2CC(C)=CCC(=O)C(C)(O)C(OC(C)=O)C(OC(=O)CC(C)C)C12,1.0
25,Clc1ccnc(N2CCOCC2)n1,0.0
26,NCc1csc(=NC(=O)c2cc[nH]n2)[nH]1,0.0
27,O=C(C=Cc1ccc(-c2ccc([N+](=O)[O-])cc2)o1)Nc1ccc(NC(=O)CCc2cccc(C(F)(F)F)c2)c(C(=O)c2ccccc2)c1,1.0
28,c1cc(=Nc2ccc3c[nH]nc3c2)[nH]c(=Nc2ccc(N3CCOCC3)cc2)[nH]1,0.0
29,Cc1cc(=NCc2ccccc2)[nH]c(=Nc2ccc(OCCCCCOc3ccc(N=c4[nH]c(C)cc(=NCc5ccccc5)[nH]4)cc3)cc2)[nH]1,1.0
30,CCCCOc1c(NCCCC(C)Nc2cc(OC)cc3cccnc23)c(=O)c1=O,0.0
31,CCC(CC)c1cc(C2CN3CCC2CC3CNS(=O)(=O)Cc2ccccc2)nc(-c2ccncc2)n1,0.0
32,N=c1[nH]c(=NO)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,0.0
33,O=S(=O)(CCO)c1cccc(-c2ccc3nccc(-c4ccncc4)c3n2)c1,1.0
34,Cn1c2c(O)cccc2c(=O)c2c(O)cc3c(c21)C=CC(C)(C)O3,0.0
35,O=C(CC1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3)N1CCN(CCO)CC1,1.0
36,O=C(NCC1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3)c1c[nH]cn1,1.0
37,Cc1cc(C)c(N=c2[nH]c(=NCCCCN=c3[nH]c(=Nc4ccc(C#N)cc4)[nH]c(=Nc4c(C)cc(C)cc4C)[nH]3)[nH]c(=Nc3ccc(C#N)cc3)[nH]2)c(C)c1,0.0
38,N=c1[nH]c2ccccc2n1-c1cc(F)ccc1O,1.0
39,CC(C)(C)c1cc(C(=O)Nc2ccccc2)cc(C(=O)Nc2ccccc2)c1,0.0
40,C[S+]([O-])c1ccc(-c2ccc3ncc(-c4cccc(S(C)(=O)=O)c4)n3n2)cc1,1.0
41,CCCCCCCCCCCC(=O)NC(CCCCN)C(=O)NCCCCCCCCCCCC(=O)NC(CCCCN)C(=O)O,0.0
42,COC1CC(OC2CC(O)C=CC=CC(C)C(CC(O)C(C)C(O)C(C)C(O)CC(C)C)OC(=O)CCCC(O)CC3(O)OC(C2)CC(O)C3C)OC(C)C1O,0.0
43,COc1cc2[nH]c(N3CCN(c4ccccc4)CC3)nc(=NC3CCN(Cc4ccccc4)CC3)c2cc1OC,1.0
44,COc1ccc(O)c(N2CCCCC2)c1,1.0
45,CC(=O)c1c(C(=O)NCCCCN(CCCNC(=O)c2[nH]c(Br)c(Br)c2C(C)=O)C(C)=O)[nH]c(Br)c1Br,0.0
46,CC(=O)c1ccc(-n2cnc3c(=N)[nH]cnc32)cc1,0.0
47,O=C(CC1CCCC1)NCCNCc1cccc2c1OCCO2,1.0
48,Cc1cc(N2CCCCC2)nc(N(CCCN=c2cc[nH]c3cc(Cl)ccc23)Cc2ccccn2)n1,0.0
49,O=C(C(=Cc1ccc(F)cc1)Oc1ccc(C=NN=c2cc[nH]c3cc(Cl)ccc23)cc1)c1ccc(Cl)cc1,1.0
