n,SMILE,class
0,CC1(C)OC(=O)C(=Cc2cccc3ccccc23)C(=O)O1,0.0
1,CCCN1C(=O)C(O)(CC(=O)CC2OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)c2cc(Cl)ccc21,0.0
2,CC(COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3)C(=O)O,1.0
3,CCN1CCN(c2nc(=NCCCCN=c3cc[nH]c4cc(Cl)ccc34)cc(C)[nH]2)CC1,1.0
4,CC(C)=CC(O)CC(C)C1CCC2(C)C3C(O)C=C4C(CCC(O)C4(C)CO)C3(C)CCC12C,0.0
5,FC(F)(F)COc1nncc(-c2cnnc(OCC(F)(F)F)n2)n1,1.0
6,C=Cc1ccc(-c2ccc(C=CC(=O)Nc3ccc(NC(=O)Cc4ccc(C)cc4)c(C(=O)c4ccccc4)c3)o2)cc1,1.0
7,CC(C)CN(NC(=O)C1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3)c1nc(C#N)ncc1Cl,1.0
8,N=c1[nH]cc(-c2ccc(F)nc2)nc1-c1ccc(C(F)(F)F)nc1,1.0
9,CCOC(=O)C1Cc2c([nH]c3ccccc23)C(C)N1Cc1cn(-c2ccnc3cc(Cl)ccc23)nn1,0.0
10,COC(=O)c1c[nH]c2c(cnn2-c2ccccc2)c1=NCCCCN,0.0
11,CCOC(=O)c1c(O)csc1Nc1ccc(Br)c(C(F)(F)F)c1,0.0
12,O=C(Cc1ccccc1)Nc1cccc2[nH]c(C(F)(F)F)nc12,0.0
13,CN1CCN(C(=O)NCC2CCC3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)CC1,1.0
14,O=Cc1ccc(OCc2cn(CCCCN3C(=O)C(=O)c4cc(F)ccc43)nn2)cc1,0.0
15,COc1c(COc2ccc(NC(C)=O)cc2)c(C(F)(F)F)c(OC)c2ccccc12,0.0
16,CC(C)N=C(N)c1ccc2oc(Cc3cc4cc(C(=N)NC(C)C)ccc4o3)cc2c1,1.0
17,ON=C(O)c1cnc(N2CCC3(CN(CC4CCCC4)C3)C2)nc1,1.0
18,C=CCn1cc(C(=CC(=O)c2ccc(Br)cc2)c2cc(OC)c(OC)cc2OC)c2ccccc21,0.0
19,Cc1cc(N2CCCCC2)nc(N(CCCN=c2cc[nH]c3cc(Cl)ccc23)Cc2ccccn2)n1,0.0
20,CCCCNC(=O)CC(O)C(CC(C)C)NC(=O)C(NC(=O)c1ccc(Oc2ccc(C(=O)NC(C(=O)NC(CCCCN)C(=O)NCCCC(C)Nc3cc(OC)cc4cccnc34)C(C)C)cc2)cc1)C(C)CC,1.0
21,O=C(OC1C(O)C(CO)OC(Oc2c(O)cc3oc4cc(O)c(O)cc4c(=O)c3c2O)C1O)c1ccc(O)cc1,0.0
22,CCC(=O)CCCCCC1NC(=O)C2CCCCN2C(=O)C(C(C)CC)NC(=O)C(Cc2cn(CN3CCCC3)c3ccccc23)NC1=O,1.0
23,CN1CCN(c2c3cc(Cl)ccc3nc3[nH]c4ccccc4c23)CC1,0.0
24,COc1cc2c3c(c1O)Oc1cc4c(cc1O)CCN(C)C4Cc1ccc(O)c(c1)Oc1ccc(cc1)CC2NCC3,0.0
25,O=C(CN(CCN=c1cc[nH]c2cc(Cl)ccc12)CC(=O)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1,1.0
26,COc1ccc2[nH]c3cc(Cl)ccc3c(=NCCCN(CCCN=c3c4ccc(Cl)cc4[nH]c4ccc(OC)cc34)C(=O)CCC(N)=O)c2c1,1.0
27,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)=CC(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,0.0
28,CC(C)(C)c1cn2nc(N3CCCC(Cn4cncn4)C3)sc2n1,0.0
29,CC1CCC2C(C)C(OCC(=O)CO)OC3OC4(C)CCC1C32OO4,1.0
30,CC1(C)OC2OC(Cn3cc(Cn4c(O)c(N=Nc5ccc(C#N)cc5)c5ccccc54)nn3)C(O)C2O1,0.0
31,CCN(CC)CCOc1ccc2c(=O)c3c(Cl)ccc(Cl)c3[nH]c2c1,1.0
32,C=C(c1cc(Cl)cc(Cl)c1OCc1ccccc1)C1COC2(OO1)C1CC3CC(C1)CC2C3,1.0
33,O=C(CCCCC(O)=NO)NN=CCc1cc(O)ccc1Br,1.0
34,CCOC(=O)CCC(=O)C(CC(C)C)=NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1,0.0
35,O=C(CCCCCCCC(=O)N1CCN(c2ccnc3cc(Cl)ccc23)CCN(c2ccnc3cc(Cl)ccc23)CC1)N1CCN(c2ccnc3cc(Cl)ccc23)CCN(c2ccnc3cc(Cl)ccc23)CC1,1.0
36,COc1ccc(C=CC(=O)c2ccc(Cl)cc2)c(OC)c1,0.0
37,c1ccc(CNCC2CC3(c4ccccc4)CCN2C3)cc1,0.0
38,CC(NC(=O)c1cc(C(C)C)[nH]n1)C(=O)Nc1ccccc1,1.0
39,OC(CNCCc1ccccc1)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,1.0
40,CCN1CCN(c2cccc(NC(=O)c3cc(F)cc4c(=O)c5cc(F)ccc5[nH]c34)c2)CC1,0.0
41,CC(=O)Nc1ccc(O)c(C(=O)C=Cc2ccc(C(F)(F)F)cc2)c1,0.0
42,COc1ccc(CN(CCCN2CCN(CCCNC(=O)C34CCC(C)C(C)C3C3=CCC5C6(C)CCC(OC(C)=O)C(C)(C)C6CCC5(C)C3(C)CC4)CC2)Cc2ccc(OC)cc2)cc1,0.0
43,Cc1cc(Br)cc(C)c1N=c1[nH]c(=NCCCCCN=c2[nH]c(=Nc3ccc(C#N)cc3)[nH]c(=Nc3c(C)cc(Br)cc3C)[nH]2)[nH]c(=Nc2ccc(C#N)cc2)[nH]1,0.0
44,ON=C(O)c1cnc(N2CCC3(CCN(Cc4ccc5ccc6cccc7ccc4c5c67)C3)CC2)nc1,1.0
45,COc1cc(C)cc(OC)c1Oc1nc(=NCCCN=c2nc(Oc3c(OC)cc(C)cc3OC)[nH]c(=Nc3ccc(C#N)cc3)[nH]2)[nH]c(=Nc2ccc(C#N)cc2)[nH]1,1.0
46,Cc1n(C(C)C)c2c([n+]1C1CC1)C(=O)c1ccccc1C2=O,1.0
47,CC1CCC2C(C)C(c3ccc(CN4CCN(C)CC4)[nH]3)OC3OC4(C)CCC1C32OO4,1.0
48,Cc1ccc(CS(=O)(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,1.0
49,CC(C)Oc1ncnc2c1CCN(Cc1ccco1)CC2,1.0
50,Fc1ccc(N=c2cc[nH]c3cc(Cl)ccc23)cc1CN1CCOCC1,1.0
51,CC(=O)c1ccc(NC2=NCCN2)cc1,0.0
52,Clc1ccc2c(=NCCCNCc3cnccc3Cl)cc[nH]c2c1,1.0
53,CC1(C)CCc2c(ccc(CNCCCCc3ccccc3)c2O)O1,1.0
54,CC(C)(C)CC1C(=O)C(=O)c2ccccc2C1=O,0.0
55,COc1c2c(cc3c1OCO3)C13CCN(C2)C1C(O)C(OC)CC3O,0.0
56,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,0.0
57,CCc1c(C)c(=N)c2ccccc2n1C,1.0
58,COc1cc2c3c(ncc(Br)c3c1)-c1ccccc1C2=O,0.0
59,O=C(NCC1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3)C(=O)N1CCNCC1,1.0
60,COC1C=CC2=CCN3CCc4cc5c(cc4C23C1)OCO5,0.0
61,CCCN(CCC)CCCN1CCN(CCCNC(=O)C23CCC(C)C(C)C2C2=CCC4C5(C)CCC(OC(C)=O)C(C)(C)C5CCC4(C)C2(C)CC3)CC1,1.0
62,COc1cc(NC(C)CCCNC(=O)c2cncc(C(=O)NCCCC(C)Nc3cc(OC)cc4ccc(C(C)(C)C)nc34)c2)c2nc(C(C)(C)C)ccc2c1,0.0
63,NC1C(=O)N(C2CCCCC2)C1C=Cc1ccccc1,0.0
64,O=C(NCC12CC(CN1Cc1ccccc1)C2)c1ccc(OC(F)(F)F)cc1,0.0
65,CCCNC(=O)c1cccc(C(=O)NC(Cc2ccccc2)C(O)CNC(C)c2ccccc2)c1,1.0
66,CCN1CCC2(CC1)CC(NCc1cccc(C)n1)c1ccccc1O2,1.0
67,NC1(C(=O)NCC2CCC3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)CCCC1,1.0
68,O=C1CSC(c2ccco2)N1CCCN=c1cc[nH]c2cc(Cl)ccc12,1.0
69,COCCN(C)c1nc(C(=O)Nc2ccc(F)cc2C(F)(F)F)c(C(C)C)s1,1.0
70,ON=C(O)c1cnc(N2CCC3(CCN(Cc4ccc(-c5ccccc5)cc4)C3)CC2)nc1,1.0
71,CC(C)CC(NC(=O)C(=O)C(S)C(=O)O)C(O)NCCCCN=C(N)N,1.0
72,N=C(N)Nc1ccc(N)cc1,0.0
73,O=[PH](=O)(O)C(N=c1[nH]cc(Br)cc1Br)[PH](=O)(=O)O,0.0
74,CS(=O)(=O)c1ccc(-c2c[nH]c(=N)c(-c3ccc(CO)nc3)c2)cc1,1.0
75,COC(=O)CCC(C)C1CCC2C3C(OC(C)=O)CC4CC(OC(C)=O)CCC4(C)C3CC(OC(C)=O)C12C,0.0
76,CC1CCC2C(C)C(CCOP(=O)(OCCC3OC4OC5(C)CCC6C(C)CCC(C3C)C46OO5)Oc3ccccc3)OC3OC4(C)CCC1C32OO4,1.0
